ProductID,Date,Zip,Units,Currency,Revenue
879,21-01-2024,58324,16,USD,1220.69
929,20-07-2024,50986,10,USD,967.94
2232,13-09-2023,88192,1,USD,21.69
592,28-09-2023,93902,13,USD,917.17
1457,20-08-2024,89423,14,USD,379.3
516,22-03-2024,86877,15,USD,453.86
997,15-05-2024,44500,4,USD,194.14
1570,11-01-2024,72013,11,USD,655.85
63,22-04-2024,47766,14,USD,434.61
448,15-05-2024,80420,19,USD,1258.08
1638,25-03-2024,22853,4,USD,272.23
988,12-11-2023,17614,3,USD,176.76
43,22-04-2024,47089,18,USD,500.59
1147,13-07-2024,93202,7,USD,385.06
1484,20-11-2023,44600,20,USD,610.59
2346,22-05-2024,41033,9,USD,295.37
2250,19-09-2023,33851,16,USD,548.51
833,27-09-2023,38910,15,USD,312.8
861,22-09-2023,95434,7,USD,358.83
1472,27-11-2023,80339,10,USD,303.56
2291,21-09-2023,85460,17,USD,1511.21
1605,26-02-2024,45311,7,USD,340.17
2167,12-02-2024,97440,15,USD,599.37
1599,31-05-2024,35372,20,USD,1204.87
1102,16-11-2023,86580,7,USD,479.46
1588,28-06-2024,18759,13,USD,329.51
93,10-04-2024,10293,14,USD,586.92
1902,18-11-2023,76953,16,USD,604.8
394,29-01-2024,32928,16,USD,524.09
2249,14-07-2024,69229,20,USD,1917.99
95,13-03-2024,28329,15,USD,1293.52
1980,25-04-2024,16730,3,USD,180.98
613,14-05-2024,78925,12,USD,1078.06
1752,15-10-2023,75904,11,USD,1046.84
250,01-10-2023,49042,9,USD,228.2
1892,18-08-2024,26881,9,USD,189.2
105,27-02-2024,14400,8,USD,641.05
1013,29-12-2023,45077,19,USD,717.55
595,28-10-2023,43477,8,USD,784.48
130,30-09-2023,77644,14,USD,1184.25
1227,22-12-2023,24205,6,USD,271.71
1662,29-08-2024,47923,17,USD,432.53
2049,18-11-2023,86905,13,USD,748.39
2210,29-08-2024,53400,6,USD,261.1
529,12-04-2024,29235,8,USD,378.82
2219,11-11-2023,53545,3,USD,74.1
93,11-03-2024,58524,5,USD,121.9
1879,09-01-2024,80518,4,USD,295.43
1326,31-10-2023,45506,19,USD,916.57
588,23-12-2023,98378,1,USD,32.21
1732,24-09-2023,88947,4,USD,362.39
906,09-06-2024,91395,19,USD,704.85
386,26-03-2024,40634,19,USD,478.44
667,06-09-2023,36020,13,USD,554.75
2338,27-08-2024,82690,16,USD,1430.32
1619,17-11-2023,44048,3,USD,165.62
1597,21-07-2024,66167,16,USD,612.38
1503,07-04-2024,51765,8,USD,669.45
1634,10-01-2024,15699,4,USD,331.48
2157,19-11-2023,22358,19,USD,1208.47
789,23-02-2024,29728,10,USD,778.84
582,24-06-2024,67799,11,USD,683.34
1127,31-03-2024,73057,3,USD,90.03
2409,24-10-2023,19179,14,USD,406.46
1234,07-06-2024,88774,18,USD,1027.68
1861,19-03-2024,43926,9,USD,684.02
269,20-08-2024,81117,15,USD,1120.87
985,23-04-2024,88587,5,USD,455.09
1718,14-03-2024,84668,9,USD,763.85
2017,26-01-2024,61992,4,USD,173.79
566,14-07-2024,31136,8,USD,332.38
1583,31-07-2024,97165,3,USD,294.3
673,07-06-2024,63613,15,USD,460.45
1774,28-06-2024,37892,3,USD,255.99
289,22-07-2024,46082,5,USD,395.15
1396,05-09-2023,32623,7,USD,427.42
165,28-05-2024,30130,3,USD,229.1
1828,21-12-2023,50350,20,USD,551.86
1269,09-01-2024,23142,9,USD,463.97
50,06-11-2023,69713,20,USD,735.48
1301,25-12-2023,58543,10,USD,289.04
1363,13-12-2023,42350,2,USD,186.64
2358,16-10-2023,50964,9,USD,360.82
622,17-10-2023,30179,3,USD,187.22
307,28-07-2024,79533,4,USD,191.77
1289,06-01-2024,71049,16,USD,996.71
316,23-01-2024,85817,12,USD,298.68
1095,04-10-2023,87091,18,USD,1134.59
1156,19-06-2024,72713,8,USD,400.61
1491,29-10-2023,15435,14,USD,1283.95
40,04-03-2024,25894,19,USD,1386.63
1662,23-04-2024,92754,7,USD,248.81
1360,28-11-2023,87838,20,USD,1974.9
555,23-07-2024,81187,12,USD,253.79
1214,09-07-2024,36202,17,USD,449.28
44,11-12-2023,46743,14,USD,417.93
879,25-05-2024,27367,18,USD,1620.61
737,06-02-2024,19957,14,USD,1390.23
2299,14-11-2023,12985,2,USD,146.16
618,06-09-2023,21285,10,USD,926.01
576,20-08-2024,12838,20,USD,1500.95
68,24-07-2024,80880,8,USD,250.57
1309,27-07-2024,89768,7,USD,473.39
2378,15-01-2024,58885,6,USD,323.02
271,26-04-2024,29478,12,USD,1090.56
436,29-12-2023,45187,19,USD,972.94
376,10-12-2023,41678,4,USD,304.82
2238,28-10-2023,29269,18,USD,1548.54
1203,02-07-2024,43454,13,USD,460.54
557,21-02-2024,38542,19,USD,1374.84
2400,18-03-2024,64560,2,USD,156.95
2060,12-03-2024,13067,15,USD,1085.27
1519,15-06-2024,57143,20,USD,851.4
321,06-11-2023,81709,10,USD,993.75
2022,01-03-2024,49374,10,USD,257.67
1091,13-06-2024,25575,2,USD,140.52
544,12-02-2024,56908,18,USD,477.3
606,04-05-2024,59063,8,USD,456.13
748,22-08-2024,89265,7,USD,141.01
1860,08-01-2024,13693,16,USD,1139.97
1847,01-05-2024,62354,4,USD,334.66
1739,21-06-2024,16314,17,USD,400.31
2014,01-12-2023,63477,2,USD,112.65
164,07-06-2024,15923,18,USD,424.98
580,09-03-2024,40051,17,USD,1585.84
146,20-05-2024,34260,4,USD,321.21
2261,23-07-2024,24879,9,USD,202.97
206,01-02-2024,89320,7,USD,697.44
2122,05-09-2023,92403,20,USD,1052.25
847,28-03-2024,16163,10,USD,829.56
1823,10-03-2024,19587,8,USD,718.43
160,19-08-2024,74158,19,USD,760.45
856,25-10-2023,79693,6,USD,532.66
2204,21-01-2024,21881,6,USD,374.23
888,27-10-2023,88134,1,USD,52.85
1776,17-05-2024,55167,11,USD,280.81
591,21-05-2024,36033,19,USD,491.56
1708,15-10-2023,41596,11,USD,529.37
1970,13-05-2024,42443,6,USD,473.11
1192,22-09-2023,78004,7,USD,388.94
567,20-06-2024,51305,15,USD,1022.19
1774,10-10-2023,87807,18,USD,793.02
1905,14-08-2024,63130,12,USD,406.65
1698,15-05-2024,95343,2,USD,183.93
1295,08-12-2023,47338,12,USD,362.59
340,27-11-2023,20355,20,USD,808.56
306,26-06-2024,40334,8,USD,732.16
2247,17-09-2023,24346,19,USD,533.48
1842,10-06-2024,21460,17,USD,1659.06
249,18-11-2023,15518,11,USD,495.51
365,07-09-2023,89731,2,USD,172.77
703,17-06-2024,60530,14,USD,897.1
710,19-05-2024,97145,8,USD,587.51
1703,02-01-2024,71040,15,USD,350.52
207,15-02-2024,82900,17,USD,1102.97
1480,30-11-2023,69503,14,USD,975.16
1013,16-10-2023,43255,19,USD,1585.43
1975,05-07-2024,10405,3,USD,88.2
1632,04-10-2023,60823,12,USD,438.46
72,04-12-2023,28842,13,USD,1118.98
266,09-05-2024,70333,17,USD,640.1
404,14-12-2023,96102,5,USD,442.62
457,07-02-2024,98265,2,USD,172.74
1417,31-01-2024,64141,20,USD,1168.93
12,09-06-2024,68397,18,USD,1083.37
1754,09-07-2024,62049,5,USD,461.35
1747,11-04-2024,89013,11,USD,308.76
1519,05-07-2024,87429,7,USD,355.44
1712,11-05-2024,26180,16,USD,1215.48
1476,27-09-2023,64113,11,USD,644.81
1456,30-03-2024,19383,4,USD,236.27
2222,07-01-2024,98221,15,USD,498.15
1748,17-10-2023,85680,1,USD,58.23
865,20-06-2024,42960,11,USD,617.85
249,18-09-2023,65767,4,USD,152.3
2287,29-11-2023,34830,15,USD,631.1
1493,17-11-2023,50929,10,USD,389.14
1071,21-08-2024,33633,1,USD,48.89
2364,08-11-2023,83513,3,USD,216.44
135,12-12-2023,40893,8,USD,432.18
1432,29-07-2024,53742,12,USD,305.74
368,02-01-2024,30263,9,USD,880.57
841,18-12-2023,92155,5,USD,203.79
1430,04-08-2024,79438,18,USD,626.69
130,12-01-2024,21227,11,USD,369.04
1433,09-12-2023,74705,14,USD,1044.48
1551,10-06-2024,36056,20,USD,957.18
2345,26-06-2024,87492,5,USD,194.47
782,12-11-2023,87883,12,USD,396.24
2022,14-04-2024,79659,20,USD,1769.71
2395,08-05-2024,72149,5,USD,412.56
1598,30-03-2024,92276,18,USD,1367.76
1529,05-12-2023,49730,6,USD,257.81
1104,08-07-2024,30026,4,USD,212.87
1966,02-10-2023,83326,13,USD,667.97
824,29-09-2023,17718,16,USD,1527.2
703,16-01-2024,20783,12,USD,1036.2
2083,28-01-2024,86638,3,USD,108.34
243,22-06-2024,59233,5,USD,168.3
1112,20-06-2024,96168,18,USD,1288.92
2161,11-05-2024,93856,16,USD,771.2
454,10-11-2023,38804,16,USD,994.15
1580,24-04-2024,73251,5,USD,116.94
2052,07-11-2023,92205,19,USD,882.21
1240,03-08-2024,84478,9,USD,647.03
998,07-02-2024,66855,15,USD,524.85
550,05-12-2023,31511,6,USD,533.98
2036,12-08-2024,86729,18,USD,1180.69
1408,11-11-2023,74051,9,USD,566.39
1125,08-03-2024,56656,18,USD,609.42
2087,12-07-2024,37141,5,USD,256.72
1601,26-02-2024,64531,10,USD,490.36
1544,15-10-2023,83463,9,USD,671.93
167,13-09-2023,82008,20,USD,910.19
156,30-03-2024,81529,20,USD,1772.84
988,09-10-2023,25225,6,USD,579.17
2033,06-01-2024,36346,12,USD,461.94
2178,01-12-2023,23502,10,USD,961.34
1942,29-03-2024,24654,6,USD,322.5
713,12-12-2023,43294,16,USD,824.59
1491,22-06-2024,84213,8,USD,671.95
1153,21-08-2024,86163,16,USD,809.94
134,14-07-2024,99787,15,USD,1145.18
782,13-10-2023,38884,15,USD,881.91
118,17-06-2024,50816,19,USD,1172.5
550,17-10-2023,20933,14,USD,1133.1
2350,10-02-2024,22999,7,USD,457.1
1729,14-08-2024,10247,17,USD,977.73
1463,08-12-2023,23273,13,USD,619.37
1582,11-06-2024,14277,11,USD,962.75
34,30-05-2024,36175,7,USD,596.81
1252,15-08-2024,40716,12,USD,554.74
2151,11-06-2024,55135,12,USD,981.11
158,17-03-2024,18763,12,USD,957.13
1695,24-09-2023,99827,20,USD,469.29
950,04-04-2024,29633,6,USD,156.17
2204,01-03-2024,28117,19,USD,1339.52
1588,02-07-2024,57353,19,USD,416.73
581,18-06-2024,51671,7,USD,600.15
609,01-11-2023,54959,11,USD,391.68
1376,08-02-2024,80623,8,USD,653.95
1008,01-09-2023,85202,18,USD,1304.82
2051,22-02-2024,31656,10,USD,477.66
1330,03-01-2024,35548,19,USD,1553.22
763,11-08-2024,11183,1,USD,21.92
443,23-01-2024,59383,17,USD,792.05
1596,27-10-2023,36171,10,USD,424.29
896,18-02-2024,51458,6,USD,545.33
1190,13-07-2024,81391,13,USD,976.99
1656,13-06-2024,64878,7,USD,337.11
2082,20-09-2023,98778,7,USD,361.03
1305,20-10-2023,79140,19,USD,997.5
675,11-09-2023,95848,6,USD,192.84
1571,04-07-2024,62850,12,USD,1005.94
364,13-07-2024,35014,16,USD,1417.19
2315,29-11-2023,37396,17,USD,1342.25
1299,28-12-2023,28065,13,USD,501.52
2179,18-04-2024,42923,4,USD,355.55
94,16-02-2024,41295,9,USD,195.96
1668,31-05-2024,68164,18,USD,464.64
1897,21-02-2024,96035,10,USD,540.42
579,18-09-2023,84617,19,USD,1796.79
615,13-08-2024,61127,19,USD,1148.5
2163,29-03-2024,19250,10,USD,411.09
2166,12-10-2023,24537,11,USD,743.32
1238,18-11-2023,86864,16,USD,1215.45
1538,23-06-2024,16763,9,USD,699.56
758,14-03-2024,85825,6,USD,286.08
638,04-07-2024,98129,2,USD,74.24
89,09-11-2023,67077,12,USD,297.0
1393,30-03-2024,35404,14,USD,720.82
76,16-10-2023,76473,14,USD,372.33
1975,12-01-2024,68335,18,USD,1547.28
2234,16-06-2024,69257,16,USD,1462.48
705,14-09-2023,90742,10,USD,395.24
405,07-01-2024,79495,14,USD,758.21
1785,14-01-2024,85321,6,USD,211.94
2234,16-08-2024,36228,2,USD,134.24
2355,28-08-2024,17634,12,USD,484.92
2272,21-09-2023,49815,20,USD,1064.92
984,03-08-2024,57506,5,USD,380.89
567,17-04-2024,50621,20,USD,769.36
1374,10-09-2023,24374,20,USD,1850.41
1950,28-05-2024,71797,10,USD,486.68
164,03-07-2024,84323,14,USD,814.42
703,13-12-2023,51477,9,USD,218.63
1966,01-12-2023,86715,6,USD,199.47
1869,07-12-2023,11869,8,USD,750.85
1022,19-11-2023,61505,10,USD,248.79
443,09-03-2024,67175,13,USD,913.41
490,03-09-2023,30035,10,USD,208.16
733,07-04-2024,44857,10,USD,675.15
2046,24-11-2023,17657,16,USD,1301.37
1461,15-06-2024,31955,3,USD,196.71
382,23-08-2024,84132,6,USD,532.05
1167,30-08-2024,76783,19,USD,1580.17
1345,24-05-2024,92503,14,USD,415.55
947,13-11-2023,79352,12,USD,765.16
272,12-11-2023,89790,16,USD,986.19
1116,17-02-2024,32090,14,USD,313.63
898,04-11-2023,55692,19,USD,824.17
2208,04-01-2024,15404,13,USD,985.53
537,13-12-2023,79144,3,USD,168.22
939,11-08-2024,91386,6,USD,501.89
1452,20-09-2023,90211,20,USD,1671.09
968,01-05-2024,31280,17,USD,1655.32
2081,11-09-2023,51302,12,USD,313.4
1543,06-03-2024,40635,8,USD,425.23
1454,02-07-2024,17677,18,USD,611.33
811,26-08-2024,23622,12,USD,766.41
535,03-05-2024,87042,1,USD,35.07
1614,13-09-2023,23468,5,USD,267.82
1590,01-08-2024,51043,4,USD,116.11
2328,24-12-2023,80315,12,USD,981.01
360,28-07-2024,21276,1,USD,92.32
299,30-06-2024,68908,10,USD,653.08
